id_oblig,id_cli,cod_prod,vr_aprobado,vr_desembolsado,sdo_capital,vr_cuota,fec_desembolso,fec_venc,dias_mora_act,num_cuotas_pend,calif_riesgo
1,3701,P033,4871439,3567831.76042183,22984553.36282862,720644,2024-10-27,2024-01-01,10,15,E
2,4905,P025,3849519,41881296.007862836,38971537.720511526,463255,2024-11-08,2024-04-04,0,9,C
3,237,P011,9304135,40446438.38146149,42491345.51775259,259254,2024-07-25,2024-03-14,0,40,A
4,2820,P042,31040763,44029745.71186946,2371980.129877659,411349,2024-05-11,2024-04-24,10,41,B
5,4545,P042,11076658,19642699.446923196,23605894.39106201,131731,2024-08-22,2024-02-13,0,1,E
6,7571,P047,13113203,30867237.851495765,17756151.594226215,222455,2024-11-26,2024-01-20,10,28,A
7,7490,P042,29098785,43552635.44190768,49606644.864108674,472882,2024-08-30,2024-06-23,60,38,E
8,1816,P033,15434908,18273956.668024465,3072408.484911212,761298,2024-08-12,2024-05-14,120,39,D
9,2035,P025,2283298,42276432.674325,47799834.644144386,992860,2024-04-25,2024-12-24,0,47,B
10,5355,P011,47638861,46189340.98584746,42244855.87587151,122811,2024-11-10,2024-06-11,30,1,D
11,2753,P020,26802920,37646478.16832587,49244984.920819186,493327,2024-11-09,2024-10-01,60,25,E
12,7067,P020,37588585,15158010.557460219,39838119.823150925,714344,2024-06-27,2024-09-27,30,5,A
13,4365,P025,22697523,3274427.445059358,24102123.510443244,84842,2024-06-30,2024-01-21,120,18,A
14,9413,P025,5606963,38571449.89100225,44568347.39170051,168856,2024-10-18,2024-06-10,60,16,A
15,345,P024,39809378,38708025.899979115,45435441.13625459,865283,2024-09-15,2024-07-22,0,39,A
16,9516,P021,39889570,49554248.85086586,14682745.602107111,75024,2024-03-30,2024-06-30,60,27,E
17,530,P021,39509135,30011977.16568401,13570074.226873327,325085,2024-02-07,2024-12-16,30,28,C
18,6567,P016,47704677,23747370.14087097,49045451.21759382,195827,2024-06-09,2024-08-22,30,7,A
19,8913,P033,6524919,34032103.77817612,23422696.077999085,313991,2024-11-07,2024-07-27,120,24,A
20,9304,P011,23972744,19764207.998520564,13432876.40571132,977682,2024-07-22,2024-05-12,120,40,E
21,4518,P047,40648389,18797039.981853988,7851647.978471557,784821,2024-01-18,2024-01-18,120,28,B
22,50,P011,33332542,24780171.409534995,3251571.072964665,649456,2024-05-01,2024-06-22,120,47,C
23,7280,P011,21152319,14008537.323167568,22571934.585402794,61545,2024-02-27,2024-09-10,10,9,C
24,7654,P011,22894711,35252237.06169551,49433302.254257455,147636,2024-11-06,2024-06-25,10,5,D
25,1652,P047,14455431,35847907.603153154,4421788.959119557,871266,2024-11-12,2024-06-09,120,5,E
26,2158,P016,41204024,2335510.8240263853,3056305.693340402,617781,2024-03-02,2024-06-15,120,11,A
27,1398,P002,4115918,36327746.621618204,7458296.582211778,324480,2024-03-08,2024-09-10,10,2,D
28,449,P049,47668665,8308512.732843698,47044297.40137012,974791,2024-10-23,2024-03-21,60,16,D
29,1077,P025,7767105,23920995.332419947,39221862.148833506,991606,2024-08-19,2024-02-03,120,21,A
30,8978,P033,18949671,19864780.80390197,34524212.76929824,998892,2024-05-06,2024-02-08,0,24,C
31,4661,P020,16952519,18176690.61135815,24062257.72215064,994661,2024-08-31,2024-05-12,120,3,D
32,648,P011,22520596,19855340.69635188,37185308.31159264,809016,2024-06-23,2024-04-30,0,16,E
33,7990,P033,12199697,45648123.12728444,46955370.71582709,661169,2024-03-07,2024-09-12,120,42,C
34,9999,P047,26657953,42812994.231170036,22260809.725060996,325859,2024-05-11,2024-05-17,120,35,E
35,8146,P033,27524325,3014195.219675272,14215734.7922825,449086,2024-05-29,2024-12-06,60,17,
36,2765,P033,48351479,49400608.58535641,48609396.79530628,262973,2024-05-13,2024-02-01,120,47,D
37,2717,P021,27720063,34765922.03003867,30974335.08844209,521353,2024-06-02,2024-07-12,10,7,B
38,9477,P049,2477968,32738198.761819746,14212230.633028317,379427,2024-12-01,2024-03-27,10,31,A
39,8924,P020,37603370,37588804.26653506,14925645.16470901,720455,2024-04-27,2024-06-19,0,17,D
40,4062,P016,48803077,38202656.24139795,26288434.156579375,152228,2024-10-12,2024-04-28,120,19,A
41,4164,P020,28537607,19980671.97632107,28025642.0721341,987548,2024-01-01,2024-09-03,120,40,B
42,3885,P016,49360714,29039252.531030342,18370403.887963034,130055,2024-10-28,2024-11-10,120,12,B
43,2817,P049,15342637,25192935.675945565,28066320.540590182,131499,2024-04-27,2024-03-09,60,12,E
44,6392,P042,13364640,30356416.824251052,42602891.24307435,190762,2024-04-25,2024-02-09,60,29,D
45,6264,P024,9012715,3695332.838937597,47604304.171416424,879313,2024-08-13,2024-12-06,10,45,A
46,8121,P049,8772832,35785363.33277872,37061047.7446025,636815,2024-09-26,2024-10-23,30,2,A
47,4879,P049,11657816,41844468.83829867,25179816.217660684,751791,2024-11-14,2024-09-13,0,33,A
48,2569,P011,8227615,26249923.3284121,39389933.933239356,678849,2024-07-29,2024-11-13,0,30,D
49,7411,P049,6031645,26166441.89590102,30748919.875624195,766395,2024-09-07,2024-10-30,0,20,B
50,474,P042,9851953,34527359.66736168,2739535.424913358,99339,2024-05-05,2024-08-31,0,26,A
51,8736,P002,16649453,1149919.6627960568,5898472.375931888,786616,2024-10-26,2024-06-12,10,12,E
52,6606,P033,25875681,12140715.53540235,19446144.86538893,553848,2024-07-01,2024-12-22,120,28,B
53,6516,P042,46889982,35625119.7967114,18788789.103178352,54912,2024-09-12,2024-05-01,120,41,E
54,829,P011,41114843,10058607.613256097,43802042.109851934,67604,2024-07-18,2024-07-17,120,5,E
55,1895,P016,44539860,44439535.103770316,29582122.845835462,153407,2024-09-10,2024-04-13,30,34,D
56,9539,P024,17249743,8604768.977272078,3015306.51756257,301183,2024-03-10,2024-06-16,60,39,A
57,5144,,36069562,14014383.809239103,3828450.3744132556,258859,2024-05-31,2024-11-05,0,1,A
58,5660,P047,5375239,7492907.268445897,41772117.50479984,73535,2024-01-20,2024-03-05,10,38,E
59,4300,,42757263,41012645.9492257,29404516.8178361,199891,2024-12-27,2024-08-05,60,45,C
60,3081,P047,36116371,31257662.9488018,35757722.22688843,479246,2024-09-09,2024-08-29,10,41,E
61,8527,P016,24282230,46951685.502624996,20563746.297369488,925748,2024-11-22,2024-10-27,60,17,C
62,8185,P047,40309747,30437778.256684933,21835448.248948153,134031,2024-12-28,2024-04-20,120,13,
63,3399,P002,33113625,25338701.68641196,19781103.358448017,816451,2024-10-08,2024-02-10,30,38,C
64,6852,P025,6155550,19371830.616069645,35705218.82709267,577428,2024-04-03,2024-12-29,10,14,B
65,102,P002,13969161,28798429.110992376,39194082.34640265,858042,2024-05-01,2024-06-21,0,25,D
66,3012,P042,45230218,31071246.42642176,12244053.214897119,579611,2024-06-28,2024-02-15,0,41,B
67,1601,P047,6278902,11421934.328269787,25628673.454493027,930490,2024-09-19,2024-06-19,0,24,B
68,5640,P047,24111355,3103001.023249439,15282164.419059865,78123,2024-04-09,2024-12-06,0,20,B
69,4541,P042,25856481,1195929.1624353277,35054654.33053697,928893,2024-03-06,2024-08-12,30,36,D
70,4704,P016,30209507,47449045.29608774,3915593.401497435,643430,2024-01-22,2024-11-23,120,36,C
71,5360,P002,9635876,10135323.52917938,34508638.13315831,594754,2024-04-11,2024-11-25,30,16,D
72,7617,,15218391,18219813.618270066,48144476.735237144,711394,2024-06-14,2024-04-01,120,16,
73,2166,P047,42066067,2682877.892775718,48698606.89230501,223909,2024-09-11,2024-04-13,0,35,E
74,8206,,6170577,11233240.450924441,23103314.249884438,358850,2024-06-03,2024-02-04,60,5,D
75,6192,P042,23576400,45351936.51534562,6866013.737004676,343799,2024-09-30,2024-03-05,60,6,D
76,4953,P024,12716831,38700582.75271451,48790876.32253955,58524,2024-12-18,2024-03-17,60,25,A
77,9427,P020,21857007,1572906.5019042706,6101452.4379634755,726769,2024-11-14,2024-05-25,30,5,
78,7207,P033,20788956,44734676.27292516,36545260.674982175,980548,2024-07-18,2024-08-19,30,19,
79,3273,P020,48473383,47612819.48962107,10999084.341517499,103350,2024-05-25,2024-03-17,30,21,A
80,9672,P025,13159433,47594219.6686729,2847372.775806349,510450,2024-09-21,2024-05-01,60,36,B
81,2219,P021,46929775,1745781.7884435714,37096666.093330376,472991,2024-10-01,2024-07-18,60,33,A
82,7448,P020,46764756,23279560.44277696,46317768.97712344,429953,2024-08-18,2024-10-04,120,27,C
